MAKE,MODEL,MODEL_YR,BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,NUM_OF_SEATING,MIN_GROSS_WEIGHT,MAX_GROSS_WEIGHT,FRNT_VIN,CURB_WEIGHT,SIDE_VIN,POLE_VIN,ROLLOVER_POSSIBILITY,STATIC_STABI_FACTOR,ROLLOVER_STARS,NHTSA_BACKUP_CAMERA,BACKUP_CAMERA,PK,SK
BMW,8 SERIES COUPE,2026,2 DR,PC,AWD,4,4905,5280,,,,,0,0,,,,BMW#8 SERIES COUPE,2026#2 DR
BMW,8 SERIES COUPE,2026,2 DR,PC,RWD,4,4905,5280,,,,,0,0,,,,BMW#8 SERIES COUPE,2026#2 DR
BMW,8 SERIES GRAN COUPE,2026,4 DR,PC,AWD,5,5368,5732,,,,,0,0,,,,BMW#8 SERIES GRAN COUPE,2026#4 DR
BMW,8 SERIES GRAN COUPE,2026,4 DR,PC,RWD,5,5368,5732,,,,,0,0,,,,BMW#8 SERIES GRAN COUPE,2026#4 DR
BMW,ALPINA XB7,2026,SUV,MPV,AWD,"6
7",7319,7319,,,,,0,0,,,,BMW#ALPINA XB7,2026#SUV
BMW,I4 GRAN COUPE,2026,4 DR,PC,AWD,5,5732,6030,,,,,0,0,,,,BMW#I4 GRAN COUPE,2026#4 DR
BMW,I4 GRAN COUPE,2026,4 DR,PC,RWD,5,5732,6030,,,,,0,0,,,,BMW#I4 GRAN COUPE,2026#4 DR
BMW,I5 SEDAN,2026,4 DR,PC,AWD,5,6063,6404,,,,,0,0,,,,BMW#I5 SEDAN,2026#4 DR
BMW,I5 SEDAN,2026,4 DR,PC,RWD,5,6063,6404,,,,,0,0,,,,BMW#I5 SEDAN,2026#4 DR
BMW,I7 SEDAN,2026,4 DR,PC,AWD,5,7165,7165,,,,,0,0,,,,BMW#I7 SEDAN,2026#4 DR
BMW,I7 SEDAN,2026,4 DR,PC,RWD,5,7165,7165,,,,,0,0,,,,BMW#I7 SEDAN,2026#4 DR
BMW,IX,2026,SUV,MPV,AWD,5,6746,6834,,,,,0,0,,,,BMW#IX,2026#SUV
BMW,M2 COUPE,2026,2 DR,PC,RWD,4,4685,4751,,,,,0,0,,,,BMW#M2 COUPE,2026#2 DR
BMW,M3 SEDAN,2026,4 DR,PC,AWD,5,4872,4982,,,,,0,0,,,,BMW#M3 SEDAN,2026#4 DR
BMW,M3 SEDAN,2026,4 DR,PC,RWD,5,4872,4982,,,,,0,0,,,,BMW#M3 SEDAN,2026#4 DR
BMW,M4 CONVERTIBLE,2026,C,PC,AWD,4,5170,5170,,,,,0,0,,,,BMW#M4 CONVERTIBLE,2026#C
BMW,M4 CONVERTIBLE,2026,C,PC,RWD,4,5170,5170,,,,,0,0,,,,BMW#M4 CONVERTIBLE,2026#C
BMW,M4 COUPE,2026,2 DR,PC,AWD,4,4751,4861,,,,,0,0,,,,BMW#M4 COUPE,2026#2 DR
BMW,M4 COUPE,2026,2 DR,PC,RWD,4,4751,4861,,,,,0,0,,,,BMW#M4 COUPE,2026#2 DR
BMW,M5 HYBRID SEDAN,2026,4 DR,PC,AWD,5,6482,6482,,,,,0,0,,,,BMW#M5 HYBRID SEDAN,2026#4 DR
BMW,M5 HYBRID WAGON,2026,4 DR,PC,AWD,5,6724,6724,,,,,0,0,,,,BMW#M5 HYBRID WAGON,2026#4 DR
BMW,X1,2026,SUV,MPV,AWD,5,4850,4938,WBX73EF00P5W05128,3733,WBX73EF04P5W21137,WBX73EF08P5W19441,0.174,1.22,4,,,BMW#X1,2026#SUV
BMW,X2,2026,SUV,MPV,AWD,5,4806,5004,,,,,0,0,,,,BMW#X2,2026#SUV
BMW,X3,2026,SUV,MPV,AWD,5,5512,5776,5UX53GP06S9Y09964,4191,5UX53GP04S9Y42719,5UX53GP02S9Y43383,0.169,1.23,4,,,BMW#X3,2026#SUV
BMW,X5,2026,SUV,MPV,AWD,5,6173,6768,5UXCR6C52KLK87127,4728,5UXCR6C57KLK79699,5UXCR6C50KLK80029,0.159,1.2506,4,,,BMW#X5,2026#SUV
BMW,X5,2026,SUV,MPV,RWD,5,6173,6768,5UXCR6C52KLK87127,4728,5UXCR6C57KLK79699,5UXCR6C50KLK80029,0.159,,,,,BMW#X5,2026#SUV
BMW,X5 HYBRID,2026,SUV,MPV,AWD,5,7055,7055,,,,,0,0,,,,BMW#X5 HYBRID,2026#SUV
BMW,X5 M,2026,SUV,MPV,AWD,5,6614,6614,,,,,0,0,,,,BMW#X5 M,2026#SUV
BMW,X6,2026,SUV,MPV,AWD,5,6360,6768,,,,,0,0,,,,BMW#X6,2026#SUV
BMW,X6 M,2026,SUV,MPV,AWD,5,6614,6614,,,,,0,0,,,,BMW#X6 M,2026#SUV
BMW,X7,2026,SUV,MPV,AWD,"6
7",7088,7319,,,,,0,0,,,,BMW#X7,2026#SUV
BMW,XM,2026,SUV,MPV,AWD,5,7209,7209,,,,,0,0,,,,BMW#XM,2026#SUV
BMW,Z4,2026,C,PC,RWD,2,3880,4101,,,,,0,0,,,,BMW#Z4,2026#C
CHRYSLER,PACIFICA,2026,PV,,FWD,8,6055,6055,2C4RC1CG3HR529408,4299,2C4RC1CG3HR531997,2C4RC1CG9HR522057,0.116,1.38,4,,,CHRYSLER#PACIFICA,2026#PV
CHRYSLER,PACIFICA AWD,2026,PV,,AWD,7,6300,6300,2C4RC1CG3HR529408,4299,2C4RC1CG3HR531997,2C4RC1CG9HR522057,0.121,1.36,4,,,CHRYSLER#PACIFICA AWD,2026#PV
CHRYSLER,PACIFICA HYBRID,2026,PV,PHEV,FWD,7,6300,6300,2C4RC1L70LR242553,5009,2C4RC1L72LR196272,2C4RC1L70LR173542,0.109,1.41,4,,,CHRYSLER#PACIFICA HYBRID,2026#PV
CHRYSLER,VOYAGER,2026,PV,,FWD,7,6055,6055,2C4RC1CG3HR529408,4299,2C4RC1CG3HR531997,2C4RC1CG9HR522057,0.116,1.38,4,,,CHRYSLER#VOYAGER,2026#PV
DODGE,CHARGER,2026,4 DR,BEV,AWD,5,6400,6950,,,,,0,0,,,,DODGE#CHARGER,2026#4 DR
DODGE,CHARGER,2026,2 DR,BEV,AWD,5,6400,6950,,,,,0,0,,,,DODGE#CHARGER,2026#2 DR
DODGE,DURANGO,2026,SUV,,AWD,7,6500,7100,1GNSKNKD2MR140625,4915,1C4RDHAG8KC550053,1C4RDHAG1KC550055,0.212,1.16,3,,,DODGE#DURANGO,2026#SUV
DODGE,DURANGO,2026,SUV,,RWD,7,6500,7100,1GNSKNKD2MR140625,4915,1C4RDHAG8KC550053,1C4RDHAG1KC550055,0.198,1.18,4,,,DODGE#DURANGO,2026#SUV
DODGE,DURANGO PURSUIT,2026,SUV,,AWD,5,6500,7100,,,,,0,0,,,,DODGE#DURANGO PURSUIT,2026#SUV
DODGE,DURANGO SRT,2026,SUV,,AWD,6,7100,7100,,,,,0,0,,,,DODGE#DURANGO SRT,2026#SUV
FORD,BRONCO 2DR,2026,SUV,MPV,4WD,4,5540,5740,1FMDE7AH0RLA22216,4369,,,0.256,1.11,3,,,FORD#BRONCO 2DR,2026#SUV
FORD,BRONCO 4DR,2026,SUV,MPV,4WD,5,5920,6280,1FMDE5BH0NLA99018,3414,,,0.256,1.11,3,,,FORD#BRONCO 4DR,2026#SUV
FORD,BRONCO SPORT,2026,SUV,MPV,4WD,5,4680,4910,3FMCR9A64MRA59550,3535,3FMCR9A69MRA16290,3FMCR9A66MRA21477,0.174,1.22,4,,,FORD#BRONCO SPORT,2026#SUV
FORD,ESCAPE GAS,2026,SUV,MPV,AWD,5,4360,4630,1FMCU9G66LUA20567,3463,1FMCU0G61LUA27504,1FMCU0DZ6LUA45432,0.174,1.22,4,,,FORD#ESCAPE GAS,2026#SUV
FORD,ESCAPE GAS,2026,SUV,MPV,FWD,5,4360,4630,1FMCU9G66LUA20567,3463,1FMCU0G61LUA27504,1FMCU0DZ6LUA45432,0.169,1.23,4,,,FORD#ESCAPE GAS,2026#SUV
FORD,ESCAPE HEV,2026,SUV,MPV,AWD,5,4760,4760,1FMCU9G66LUA20567,3463,1FMCU0G61LUA27504,1FMCU0DZ6LUA45432,0.174,1.22,4,,,FORD#ESCAPE HEV,2026#SUV
FORD,ESCAPE HEV,2026,SUV,MPV,FWD,5,4760,4760,1FMCU9G66LUA20567,3463,1FMCU0G61LUA27504,1FMCU0DZ6LUA45432,0.169,1.23,4,,,FORD#ESCAPE HEV,2026#SUV
FORD,ESCAPE PHEV,2026,SUV,MPV,FWD,5,4950,4950,1FMCU0KZ9NUA18828,3907,1FMCU0KZ0NUA20225,1FMCU0EZ1NUA18656,0.143,1.29,4,,,FORD#ESCAPE PHEV,2026#SUV
FORD,EXPEDITION,2026,SUV,MPV,4WD,8,7375,7650,1FMJU1J8XSEA25587,5610,1FMJU1H81SEA19618,1FMJU1H86SEA25852,0.204,1.17,3,,,FORD#EXPEDITION,2026#SUV
FORD,EXPEDITION,2026,SUV,MPV,RWD,8,7375,7650,1FMJU1J8XSEA25587,5452,1FMJU1H81SEA19618,1FMJU1H86SEA25852,0.237,1.13,3,,,FORD#EXPEDITION,2026#SUV
FORD,EXPEDITION MAX,2026,SUV,MPV,4WD,8,7500,7750,1FMJU1J8XSEA25587,5610,1FMJU1H81SEA19618,1FMJU1H86SEA25852,0.204,1.17,3,,,FORD#EXPEDITION MAX,2026#SUV
FORD,EXPEDITION MAX,2026,SUV,MPV,RWD,8,7500,7750,1FMJU1J8XSEA25587,5452,1FMJU1H81SEA19618,1FMJU1H86SEA25852,0.237,1.13,3,,,FORD#EXPEDITION MAX,2026#SUV
FORD,EXPLORER GAS,2026,SUV,MPV,4WD,7,5760,6500,1FMUK8DHXSGA14990,4455,1FMSK7BHXLGB60649,1FM5K7FW9LGA90809,0.151,1.27,4,,,FORD#EXPLORER GAS,2026#SUV
FORD,EXPLORER GAS,2026,SUV,MPV,RWD,7,5760,6500,1FMUK8DHXSGA14990,3813,1FMSK7BHXLGB60649,1FM5K7FW9LGA90809,0.147,1.28,4,,,FORD#EXPLORER GAS,2026#SUV
FORD,EXPLORER HEV,2026,SUV,MPV,4WD,7,6840,6840,1FMUK8DHXSGA14990,4455,1FMSK7BHXLGB60649,1FM5K7FW9LGA90809,0.151,1.27,4,,,FORD#EXPLORER HEV,2026#SUV
